id,date,city,venue,category,title,time,ticketUrl,cost
"1","2019-11-14","Anchorage","Koot’s","music","Fireside Thursdays w/ DJ JoJo","10p-2:10a","",""
"2","2019-11-14","Anchorage","UAF Charles Davis Concert Hall (Fairbanks)","music","Music at One: Fall 2019","1p-2p","",""
"3","2019-11-14","Anchorage","Middle Way Café","music","Under 21 Open Mic -West","5:30p-7:30p","",""
"4","2019-11-14","Anchorage","Tequila 61˚","music","Thursdays with Will H. Johnson","6p-9p","",""
"5","2019-11-14","Anchorage","The Narrows Bar (Juneau)","music","Live Jazz","7:30p-10:30p","",""
"6","2019-11-14","Anchorage","Alleyway Grille","music","Open Mic Night","7p-10p","",""
"7","2019-11-14","Anchorage","The Creek Street Cabaret (Ketchikan)","music","Cousin Curtiss & Harrison B","7p-10p","",""
"8","2019-11-14","Anchorage","Koots","music","Holiday Karaoke Competition","7p-10p","",""
"9","2019-11-14","Anchorage","Tailgaters Sports Bar & Grill (Wasilla)","music","AK Acoustic Projekt","7p-10p","",""
"10","2019-11-14","Anchorage","Aviator Hotel","music","Open Mic Night w/ TLoop","7p-11p","",""
"11","2019-11-14","Anchorage","Gerald C. Wilson Auditorium (Kodiak)","music","Ruploops: The Human Radio","7p-9:30p","",""
"12","2019-11-14","Anchorage","Mad Myrna’s","music","The Rocky Horror Show","7p-9p","",""
"13","2019-11-14","Anchorage","UAA Student Union Den","dance","Cosplay Dance","7p-9p","",""
"14","2019-11-14","Anchorage","The Writer’s Block Bookstore & Café","music","The Block Mic Drop","7p-9p","",""
"15","2019-11-14","Anchorage","UAF Pub","music","Joe Ransdell-Green","8p-10p","",""
"16","2019-11-14","Anchorage","Humpy’s","music","Superfrequency","8p-12a","",""
"17","2019-11-14","Anchorage","UAA Fine Arts Building","dance","UAA Dance Performance","8p-9:30p","",""
"18","2019-11-14","Anchorage","Mad Myrna’s","music","DJ Covy","9p-12a","",""
"19","2019-11-14","Anchorage","Van’s Dive Bar","music","Foot & Friends","9p-12a","",""
"20","2019-11-14","Anchorage","Long Branch Saloon","music","Becky Kotter","9p-1a","",""
