id,date,city,venue,category,title,time,ticketUrl,cost
"3674","2026-02-11","Eagle River","Gerrish Library","community","Family Storytime","10:30a-11:30a","",""
"3675","2026-02-11","Eagle River","Soldotna Library","community","Bouncing Babes Story Time","10:30a-11a","",""
"3676","2026-02-11","Eagle River","Inn at Creek Street","music","The Ukulele Group","3:45p-4:45p","",""
"3677","2026-02-11","Eagle River","The Goods","music","Karaoke Nights","5:30p-8p","",""
"3678","2026-02-11","Eagle River","Porcupine Theater","music","David Webster: A Life in 12 Bars","6p-?","",""
"3679","2026-02-11","Eagle River","Schwabenhof","music","Open Mic","7:30p-11p","",""
"3680","2026-02-11","Eagle River","Four Corner’s Lounge","music","West Coast Sing Wednesday","7:30p-9:30p","",""
"3681","2026-02-11","Eagle River","Holy Name Catholic Church","festival","Sitka Music Festival: Winter Classics","7p-8:30p","",""
"3682","2026-02-11","Eagle River","The Crystal Saloon","music","Open Mic Night","8p-11:30p","",""
"3683","2026-02-11","Eagle River","The Spur","music","Karaoke Night with Rocky!","8p-11p","",""
"3684","2026-02-11","Eagle River","Alaskan Hotel and Bar","music","Karaoke","8p-11p","",""
"3685","2026-02-11","Eagle River","Fairview Inn","music","Open Mic Night","8p-1a","",""
"3686","2026-02-11","Eagle River","Yukon Bar","music","Open Mic Night","8p-2a","",""
"3687","2026-02-11","Eagle River","North Pole Alehouse","comedy","Stand-Up Comedy w/ Dana Gould","8p-9:30p","",""
"3688","2026-02-11","Eagle River","105.3 FM KRBD","music","After Hours Alaska","9p-11p","",""
"3689","2026-02-12","Anchorage","Beartooth Theatrepub","music","Secret Admirer Movie: Mystery Movie Date Night 6p-8p?","","",""
"3690","2026-02-12","Anchorage","Pioneer Bar","music","DJ Cross","10p-1a","",""
"3691","2026-02-12","Anchorage","New Sagaya City Market","music","Song Circle of Love w/ Irish Club of Alaska","6p-8p","",""
"3692","2026-02-12","Anchorage","Williwaw Social","music","Kage Free’s Velvet Hours feat Melissa Mitchell","6p-9p","",""
"3693","2026-02-12","Anchorage","Broken Blender","music","Karaoke","7p-11p","",""
"3694","2026-02-12","Anchorage","Pink Cadillac","music","Ladies Night at Pink Cadillac w/ DJ Rico","7p-12a","",""
"3695","2026-02-12","Anchorage","Cyrano’s Theatre Company","music","The Fantasticks","7p-9p","",""
"3696","2026-02-12","Anchorage","West High School","music","Little Shop of Horrors Live","7p-9p","",""
"3697","2026-02-12","Anchorage","Blarney Stone","music","Black & Tan Open Jam","8p-11p","",""
"3698","2026-02-12","Anchorage","Flattop Pizza & Pool","music","Karaoke Night","8p-12a","",""
"3699","2026-02-12","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-2a","",""
"3700","2026-02-12","Anchorage","Koot’s","music","Joey Fender","9p-?","",""
"3701","2026-02-12","Eagle River","Fairbanks Library","community","Preschool Storytime","10:30a-11:15p & 1:30p-2:15p","",""
"3702","2026-02-12","Eagle River","Soldotna Library","community","Pre-School Story Time","10:30a-11a","",""
"3703","2026-02-12","Eagle River","Chugiak-Eagle River Library","community","Family Storytime","10:30a-11p","",""
"3704","2026-02-12","Eagle River","Kenai Chamber of Commerce &Visitor Center","music","Beyond the Exhibit: Kenai's Ice Age Fossils","12p-?","",""
"3705","2026-02-12","Eagle River","Wasilla Area Seniors, Inc","dance","Valentine’s Day Dance","3p-5p","",""
"3706","2026-02-12","Eagle River","Mendenhall Valley Library","music","The Briefcase: An Art Mask Presentation","5:30p-?","",""
"3707","2026-02-12","Eagle River","Downtown Library","community","Community Classes: Love Your Brain","5:30p-7:30p","",""
"3708","2026-02-12","Eagle River","Alyeska Resort","music","Town League Race Series & Live Music: Ayden See","5p-10p","",""
"3709","2026-02-12","Eagle River","Gather","festival","From Fairbanks, With Love: A Valentine’s Postcard Event","5p-8p","",""
"3710","2026-02-12","Eagle River","Alyeska Resort","music","Lifts for Love: Chairlift Speed Dating!","5p-8p","",""
"3711","2026-02-12","Eagle River","UAS Egan Lecture Hall","music","Fins, Fur, & Feathers of the Amazon & Galapagos","6:30p-?","",""
"3712","2026-02-12","Eagle River","Chapel by the Lake","dance","Thursday Night Dance Social: Salsa","6:30p-8:30p","",""
"3713","2026-02-12","Eagle River","Hoodoo Brewing Company","community","Frosty Feet Valentine’s Beer Run","6p-?","",""
"3714","2026-02-12","Eagle River","AJ’s Old Town Steakhouse & Tavern","music","Piano Music by Erica","6p-8p","",""
"3715","2026-02-12","Eagle River","Soba Restaurant","music","Valentine’s Wine Tasting & Live Music","6p-9p","",""
"3716","2026-02-12","Eagle River","Palmer Alehouse","music","Unplugged: Matt Hopper","6p-9p","",""
"3717","2026-02-12","Eagle River","UAF Charles Davis Concert Hall","music","Grahm Jones","7:30p-8p","",""
"3718","2026-02-12","Eagle River","The Spur","comedy","Stand Up Comedy w/ Dana Gould","7p-9p","",""
"3719","2026-02-12","Eagle River","105.3 FM KRBD","music","Ketchikan Arts & Humanities Council: Arts Report","8:20a-8:35a","",""
