id,date,city,venue,category,title,time,ticketUrl,cost
"762","2022-05-25","Anchorage","Pioneer Bar","music","The Eternal Cowboys","10p-12a","",""
"763","2022-05-25","Anchorage","Anchorage Classical Ballet Academy","music","Dancing with My Dollie: Passport to Paris","4p-6p","",""
"764","2022-05-25","Anchorage","907 Alehouse","music","Tyrone Palmer & Friends","7p-10p","",""
"765","2022-05-25","Anchorage","PubHouse","music","Witty Youngman","7p-10p","",""
"766","2022-05-25","Anchorage","Schwabenhof (Wasilla)","music","Open Mic","7p-12a","",""
"767","2022-05-25","Anchorage","Van’s Dive Bar","music","The Wax Poetic w/ Nikki Now!","7p-9p","",""
"768","2022-05-25","Anchorage","Koot’s","comedy","Comedy Open Mic","8:30p-10p","",""
"769","2022-05-25","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-11p","",""
"770","2022-05-25","Anchorage","Koot’s","music","KASH Country Night at Koot's","8p-12:30a","",""
"771","2022-05-25","Anchorage","Alaskan Hotel and Bar (Juneau)","music","Karaoke Wednesdays","8p-12a","",""
"772","2022-05-25","Anchorage","The Marlin (Fairbanks)","music","Open Mic at The Marlin!","8p-2a","",""
"773","2022-05-25","Anchorage","Van’s Dive Bar","music","Karaoke w/ The Milkman and/or The Dairy Queen!","9p-12a","",""
"774","2022-05-25","Anchorage","Yukon Bar (Seward)","music","Karaoke","9p-2a","",""
"775","2022-05-26","Anchorage","Mad Myrna’s","music","Thursday Vibe DJ Covy","10p-2a","",""
"776","2022-05-26","Anchorage","The Marlin (Fairbanks)","music","Karaoke with Kellie B.!","10p-2a","",""
"777","2022-05-26","Anchorage","Koot’s","music","El Escapado, Lone Wolves, & Sideways","10p-3a","",""
"778","2022-05-26","Anchorage","Anchorage Classical Ballet Academy","music","Dancing with My Dollie: Passport to Paris","4p-6p","",""
"779","2022-05-26","Anchorage","House of Transformation","music","#TurnUpForJesus Thursday","5p-9p","",""
"780","2022-05-26","Anchorage","The Crystal Saloon (Juneau)","music","Front to Franklin Open Mic Night","7:30p-11p","",""
"781","2022-05-26","Anchorage","Goldie’s AK (Fairbanks)","music","(Open) Mic Check","7p-10p","",""
"782","2022-05-26","Anchorage","The Marlin Bar (Fairbanks)","music","The MUCKERS","7p-10p","",""
"783","2022-05-26","Anchorage","Tailgater’s Sport’s Bar & Grill (Wasilla)","music","The AKoustic Project","7p-10p","",""
"784","2022-05-26","Anchorage","Fairview Inn (Talkeetna)","music","Kayti & Cami","7p-1a","",""
"785","2022-05-26","Anchorage","Georgeson Botanical Garden (Fairbanks)","music","Music in the Garden","7p-8p","",""
"786","2022-05-26","Anchorage","Cyrano’s Theatre","dance","The Mommy Dance","7p-9p","",""
"787","2022-05-26","Anchorage","Spoonline (Girdwood)","music","Appalaskan Jess “Rare Bird” Single Release Party","7p-9p","",""
"788","2022-05-26","Anchorage","Van’s Dive Bar","music","Dead Night @ Van's w/The Lightning Will","8:45p-12a","",""
"789","2022-05-26","Anchorage","Bear Tooth Theatrepub & Grill","music","Parlor in the Round w/ Jamie Whiteman, Candice Ivory, & Mikey Kehr","8p-10p","",""
"790","2022-05-26","Anchorage","Bear Paw Bar & Grill","music","The Jukebox Karaoke Roadshow Pop-up","8p-11p","",""
"791","2022-05-26","Anchorage","Flattop Pizza & Pool","music","Jukebox Karaoke Roadshow","8p-11p","",""
"792","2022-05-26","Anchorage","Garcia’s Cantina & Café (Eagle River)","music","Glacier Hoppers","8p-11p","",""
"793","2022-05-26","Anchorage","Williwaw Social","music","The Eternal Cowboys Rock the Roof","8p-11p","",""
"794","2022-05-26","Anchorage","Klondike Mike’s & the Main Street Grill (Palmer)","music","Open Mic Night","8p-12a","",""
"795","2022-05-26","Anchorage","Mad Myrna’s","comedy","Mad Myrna's Comedy Showcase","9p-11p","",""
"796","2022-05-26","Anchorage","The Alaskan Hotel & Bar (Juneau)","music","Front to Franklin Open Mic Night","9p-1a","",""
"797","2022-05-27","Anchorage","Mug-Shot Saloon (Wasilla)","music","Glacier Hoppers 80's Birthday Bash","10p-2:30a","",""
"798","2022-05-27","Anchorage","The Crystal Saloon (Juneau)","dance","The Knight Show Dance Party","10p-2a","",""
"799","2022-05-27","Anchorage","2712 Drafthouse (Fairbanks)","music","DJ Manny’s Memorial Weekend: NIGHTLIFE EDITION","10p-3a","",""
"800","2022-05-27","Anchorage","Boots Bison Ranch (Trapper Creek)","festival","Trapper Creek Bluegrass Festival","12p-12a","",""
"801","2022-05-27","Anchorage","Organic Oasis","music","John Damberg Jazz Piano Fridays","5:30p-7:30p","",""
