id,date,city,venue,category,title,time,ticketUrl,cost
"2618","2025-01-21","Anchorage","Koot’s","music","The Eternal Cowboys","10p-2a","",""
"2619","2025-01-21","Anchorage","Matanuska Brewing","music","Phatt Tuesday New Orleans Jazz & Funk","6p-10p","",""
"2620","2025-01-21","Anchorage","Organic Oasis","music","Irish Music and Dancing","6p-8p","",""
"2621","2025-01-21","Anchorage","Van’s Dive Bar","music","Open Jam Night","7p-11p","",""
"2622","2025-01-21","Anchorage","Koot’s","music","Midnight Freestyle","9p-2a","",""
"2623","2025-01-21","Eagle River","Pakalolo Supply Company","comedy","Comedy Night Open Mic w/ AK Sexy Killer","12p-2p","",""
"2624","2025-01-21","Eagle River","Government Peak Chalet","music","Art & Music Night","5:30p-6:30p","",""
"2625","2025-01-21","Eagle River","Justin Cole’s Down East Saloon","music","Taco Tuesday's with Jim Maloney","6:30p-10p","",""
"2626","2025-01-21","Eagle River","The Crystal Saloon","music","Jazz Jam Tuesday","8p-11p","",""
"2627","2025-01-21","Eagle River","Schwabenhof","music","Karaoke Night","8p-11p","",""
"2628","2025-01-21","Eagle River","Four Corner’s Lounge","music","Open Mic Night","8p-12a","",""
"2629","2025-01-21","Eagle River","Yukon Bar","music","Open Jam Night","9p-2a","",""
"2630","2025-01-22","Anchorage","Pioneer Bar","music","The Eternal Cowboys","10p-12a","",""
"2631","2025-01-22","Anchorage","Koot’s","music","Koots Karaoke","10p-2a","",""
"2632","2025-01-22","Anchorage","907 Alehouse","music","Tyrone Palmer & Friends","7p-10p","",""
"2633","2025-01-22","Anchorage","Pink Cadillac","dance","Line Dance Night","7p-11p","",""
"2634","2025-01-22","Anchorage","Koot’s","dance","Country Night & Dance Lessons","7p-1a","",""
"2635","2025-01-22","Anchorage","Lil Babes Cocktail Lounge","music","Open Mic","8p-12a","",""
"2636","2025-01-22","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-2a","",""
"2637","2025-01-22","Anchorage","Mad Myrna’s","music","Karaoke","9p-12a","",""
"2638","2025-01-22","Eagle River","Main Street Tap & Grill","music","Open Mike w/ Ben Sayers","6p-9p","",""
"2639","2025-01-22","Eagle River","Schwabenhof","music","Open Mic","7:30p-11p","",""
"2640","2025-01-22","Eagle River","Alaskan Hotel and Bar","music","Karaoke","8p-11p","",""
"2641","2025-01-22","Eagle River","The Crystal Saloon","music","Open Mic Wednesday","8p-11p","",""
"2642","2025-01-22","Eagle River","Four Corner’s Lounge","music","Karaoke","9p-12a","",""
"2643","2025-01-22","Eagle River","Yukon Bar","music","Karaoke","9p-2a","",""
"2644","2025-01-23","Anchorage","Williwaw Social","festival","Acoustic Affair w/ Lizzie G, Ken Cline, Garrett Hermansen, Silas Wade, & Pepper Kit","7p-10p","",""
"2645","2025-01-23","Anchorage","Broken Blender","music","Country Music Night w/ Schaefer Mueller","7p-11p","",""
"2646","2025-01-23","Anchorage","Pink Cadillac","music","Ladies Night at Pink Cadillac w/ DJ Rico","7p-12a","",""
"2647","2025-01-23","Anchorage","Wendy Williamson Theatre","festival","Anchorage Folk Festival","7p-9:30p","",""
"2648","2025-01-23","Anchorage","Koot’s","music","Latin Thursday w/ DJ Mykey T","8p-11:45p","",""
"2649","2025-01-23","Anchorage","Flattop Pizza & Pool","music","Karaoke w/ Big Dream Entertainment","8p-12a","",""
"2650","2025-01-23","Anchorage","Floaters","music","Karaoke","8p-12a","",""
"2651","2025-01-23","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-2a","",""
"2652","2025-01-23","Anchorage","Koot’s","music","Will Balcao","9p-2a","",""
"2653","2025-01-23","Eagle River","Chair 5 Restaurant","music","The Vintage Retro","10:30p-1:30a","",""
"2654","2025-01-23","Eagle River","The International Hotel & Bar","music","Karaoke Nights at the Big I","10p-2a","",""
"2655","2025-01-23","Eagle River","Sitzmark","music","Town League Race Series & Live Music w/ Dreamcat + 3000-21","5p-9p","",""
"2656","2025-01-23","Eagle River","Palmer Alehouse","music","Shakedown Strings Live","6p-9p","",""
"2657","2025-01-23","Eagle River","Tailgater’s Sport’s Bar & Grill","music","The AKoustic Project","7p-10p","",""
"2658","2025-01-23","Eagle River","Four Corner’s Lounge","music","Open Jam/Mic Night w/ Host Jesse James","7p-11p","",""
"2659","2025-01-23","Eagle River","Hering Auditorium","music","Mean Girls: High School Version","7p-9p","",""
"2660","2025-01-23","Eagle River","Main Street Tap & Grill","music","Lindsay Glazer","7p-9p","",""
"2661","2025-01-23","Eagle River","Alaskan Hotel and Bar","music","Open Mic","8p-11p","",""
"2662","2025-01-23","Eagle River","The Crystal Saloon","music","Karaoke Thursdays","8p-11p","",""
"2663","2025-01-23","Eagle River","4 Royle Parkers","music","Open Mic w/ Cody Kniceley","8p-12a","",""
"2664","2025-01-23","Eagle River","Klondike Mike’s and Garcia’s Grill","music","Karaoke","8p-1a","",""
"2665","2025-01-23","Eagle River","Alibi Bar & Café","music","Karaoke Night","9:15p-12:15a","",""
"2666","2025-01-24","Anchorage","Koots","music","The Stack Alaska","10:30p-2a","",""
"2667","2025-01-24","Anchorage","Zip Kombucha","music","Organic Launch Party w/ The 7 Duo","6p-8p","",""
"2668","2025-01-24","Anchorage","Angry Salmon","music","Ivan Dennis","6p-9p","",""
"2669","2025-01-24","Anchorage","Alaska Center for the Performing Arts","music","International Guitar Night XXV","7:30p-9:20p","",""
"2670","2025-01-24","Anchorage","Wendy Williamson Theatre","festival","Anchorage Folk Festival","7p-10p","",""
"2671","2025-01-24","Anchorage","The Fraternal Order of Eagles Aerie 4207","music","Karaoke Friday at the Eagles!","7p-12a","",""
"2672","2025-01-24","Anchorage","Beartooth Theatrepub","comedy","Stand-Up Comedy Show with Billy Wayne Davis","7p-9p","",""
"2673","2025-01-24","Anchorage","Humpy’s","music","Glacier Hoppers Band","8:30p-12a","",""
"2674","2025-01-24","Anchorage","Broken Blender","music","Karaoke w/ DJ Sparkles","8p-12a","",""
"2675","2025-01-24","Anchorage","Williwaw Social","dance","Pop vs Hip Hop Dance Party w/ DJ GRE","9:30p-1a","",""
